epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,612.791,0.70935,0.49594,0.93312,0.85545,0.7766,0.83372,0.61528,0.88947,0.70269,1.10031,0.00035075,0.00035075,0.00035075
111,618.302,0.72057,0.50579,0.94357,0.91011,0.71136,0.83696,0.62564,0.86125,0.68174,1.07317,0.0003425,0.0003425,0.0003425
112,623.781,0.69636,0.49075,0.92871,0.93203,0.72242,0.85779,0.6061,0.9206,0.7133,1.1121,0.00033425,0.00033425,0.00033425
113,629.27,0.68505,0.47636,0.93403,0.90826,0.78121,0.85115,0.61951,0.90095,0.68436,1.10494,0.000326,0.000326,0.000326
114,634.759,0.69769,0.46553,0.93742,0.93082,0.73764,0.86513,0.64249,0.90397,0.70543,1.08974,0.00031775,0.00031775,0.00031775
115,640.268,0.69621,0.48817,0.94316,0.9188,0.77955,0.86908,0.64084,0.89588,0.6844,1.09861,0.0003095,0.0003095,0.0003095
116,645.763,0.67274,0.45542,0.93386,0.87414,0.7947,0.83268,0.60522,0.88519,0.70266,1.08878,0.00030125,0.00030125,0.00030125
117,651.245,0.65243,0.46528,0.91562,0.86096,0.80227,0.83052,0.61085,0.91244,0.73894,1.09785,0.000293,0.000293,0.000293
118,656.784,0.68748,0.46529,0.93249,0.85111,0.78696,0.83983,0.62171,0.88263,0.72723,1.08802,0.00028475,0.00028475,0.00028475
119,662.285,0.68039,0.44801,0.93779,0.89744,0.76288,0.84229,0.61684,0.86854,0.70927,1.07628,0.0002765,0.0002765,0.0002765
120,667.759,0.67938,0.46101,0.9249,0.80677,0.80313,0.83473,0.6151,0.88852,0.73277,1.08718,0.00026825,0.00026825,0.00026825
121,673.218,0.63915,0.44351,0.90848,0.81634,0.80322,0.81233,0.60737,0.88877,0.7495,1.08757,0.00026,0.00026,0.00026
122,678.786,0.66495,0.45624,0.91998,0.86034,0.7321,0.82385,0.6108,0.89537,0.73827,1.09814,0.00025175,0.00025175,0.00025175
123,684.32,0.65922,0.46647,0.91634,0.8647,0.76544,0.82151,0.59202,0.90332,0.72849,1.12146,0.0002435,0.0002435,0.0002435
124,689.821,0.67398,0.45073,0.92228,0.9,0.7297,0.83323,0.59716,0.89229,0.7429,1.10281,0.00023525,0.00023525,0.00023525
125,695.375,0.65549,0.45421,0.91166,0.78291,0.80996,0.83279,0.61378,0.90214,0.73873,1.10134,0.000227,0.000227,0.000227
126,700.855,0.65402,0.44663,0.91292,0.83737,0.78061,0.83307,0.6212,0.8771,0.69676,1.08651,0.00021875,0.00021875,0.00021875
127,706.349,0.65942,0.45293,0.91829,0.83362,0.80168,0.83558,0.62233,0.87142,0.71433,1.07845,0.0002105,0.0002105,0.0002105
128,711.848,0.64927,0.44822,0.91011,0.78671,0.81563,0.83808,0.62974,0.88119,0.70911,1.09023,0.00020225,0.00020225,0.00020225
129,717.335,0.65037,0.45394,0.9221,0.89113,0.74254,0.84835,0.62842,0.89961,0.68731,1.09227,0.000194,0.000194,0.000194
130,722.836,0.62077,0.43239,0.90239,0.92513,0.72348,0.86414,0.65187,0.85859,0.6682,1.06497,0.00018575,0.00018575,0.00018575
131,728.31,0.64344,0.45932,0.92103,0.90563,0.76194,0.84698,0.6374,0.86566,0.73459,1.07742,0.0001775,0.0001775,0.0001775
132,733.808,0.62603,0.43685,0.90873,0.89944,0.77306,0.84814,0.63219,0.87618,0.71776,1.08225,0.00016925,0.00016925,0.00016925
133,739.37,0.63071,0.42994,0.90798,0.8671,0.81023,0.84647,0.6145,0.89734,0.72943,1.10035,0.000161,0.000161,0.000161
134,745.063,0.63568,0.455,0.91387,0.90725,0.75711,0.84652,0.63774,0.86981,0.72169,1.09072,0.00015275,0.00015275,0.00015275
135,750.575,0.61766,0.41889,0.90442,0.85867,0.78162,0.85515,0.64347,0.87345,0.71849,1.08709,0.0001445,0.0001445,0.0001445
136,756.045,0.61667,0.42048,0.91564,0.84697,0.78222,0.84664,0.63297,0.86445,0.7313,1.08118,0.00013625,0.00013625,0.00013625
